"Title","Gross Domestic Product at market prices: Current price: Seasonally adjusted £m"
"1960 Q2","6484"
"1960 Q3","6578"
"1960 Q4","6714"
"1961 Q1","6881"
"1961 Q2","6881"
"1961 Q3","7119"
"1961 Q4","7037"
"1962 Q1","7132"
"1962 Q2","7307"
"1962 Q3","7381"
"1962 Q4","7415"
"1963 Q1","7365"
"1963 Q2","7750"
"1963 Q3","7869"
"1963 Q4","8115"
"1964 Q1","8142"
"1964 Q2","8433"
"1964 Q3","8618"
"1964 Q4","8854"
"1965 Q1","9019"
"1965 Q2","9062"
"1965 Q3","9283"
"1965 Q4","9464"
"1966 Q1","9606"
"1966 Q2","9772"
"1966 Q3","9956"
"1966 Q4","10060"
"1967 Q1","10158"
"1967 Q2","10413"
"1967 Q3","10483"
"1967 Q4","10619"
"1968 Q1","11097"
"1968 Q2","11230"
"1968 Q3","11586"
"1968 Q4","11882"
"1969 Q1","12086"
"1969 Q2","12267"
"1969 Q3","12541"
"1969 Q4","12867"
"1970 Q1","13220"
"1970 Q2","13803"
"1970 Q3","14253"
"1970 Q4","14765"
"1971 Q1","14986"
"1971 Q2","15497"
"1971 Q3","15993"
"1971 Q4","16394"
"1972 Q1","16599"
"1972 Q2","17388"
"1972 Q3","17759"
"1972 Q4","18832"
"1973 Q1","20046"
"1973 Q2","19874"
"1973 Q3","20558"
"1973 Q4","21315"
"1974 Q1","21132"
"1974 Q2","22651"
"1974 Q3","23896"
"1974 Q4","24994"
"1975 Q1","26814"
"1975 Q2","28129"
"1975 Q3","29260"
"1975 Q4","30890"
"1976 Q1","32449"
"1976 Q2","33322"
"1976 Q3","34550"
"1976 Q4","36678"
"1977 Q1","38038"
"1977 Q2","39244"
"1977 Q3","40339"
"1977 Q4","42165"
"1978 Q1","44140"
"1978 Q2","45905"
"1978 Q3","47207"
"1978 Q4","48906"
"1979 Q1","50459"
"1979 Q2","53966"
"1979 Q3","56767"
"1979 Q4","59789"
"1980 Q1","62107"
"1980 Q2","63704"
"1980 Q3","66021"
"1980 Q4","68138"
"1981 Q1","69940"
"1981 Q2","71334"
"1981 Q3","73310"
"1981 Q4","75596"
"1982 Q1","77468"
"1982 Q2","78993"
"1982 Q3","80430"
"1982 Q4","82667"
"1983 Q1","85727"
"1983 Q2","86288"
"1983 Q3","88637"
"1983 Q4","90695"
"1984 Q1","91663"
"1984 Q2","93433"
"1984 Q3","94862"
"1984 Q4","97962"
"1985 Q1","99412"
"1985 Q2","103208"
"1985 Q3","105169"
"1985 Q4","106841"
"1986 Q1","108753"
"1986 Q2","110079"
"1986 Q3","111989"
"1986 Q4","115779"
"1987 Q1","118136"
"1987 Q2","121739"
"1987 Q3","127119"
"1987 Q4","129815"
"1988 Q1","133283"
"1988 Q2","136630"
"1988 Q3","140801"
"1988 Q4","144969"
"1989 Q1","148623"
"1989 Q2","151262"
"1989 Q3","155370"
"1989 Q4","159376"
"1990 Q1","163056"
"1990 Q2","166719"
"1990 Q3","170068"
"1990 Q4","170954"
"1991 Q1","173192"
"1991 Q2","175822"
"1991 Q3","177280"
"1991 Q4","179590"
"1992 Q1","181438"
"1992 Q2","181889"
"1992 Q3","182558"
"1992 Q4","184989"
"1993 Q1","189580"
"1993 Q2","189802"
"1993 Q3","193552"
"1993 Q4","196921"
"1994 Q1","199796"
"1994 Q2","200691"
"1994 Q3","203292"
"1994 Q4","207015"
"1995 Q1","208657"
"1995 Q2","210748"
"1995 Q3","214616"
"1995 Q4","217824"
"1996 Q1","221433"
"1996 Q2","226187"
"1996 Q3","229912"
"1996 Q4","232461"
"1997 Q1","232749"
"1997 Q2","235998"
"1997 Q3","243388"
"1997 Q4","241270"
"1998 Q1","245958"
"1998 Q2","248081"
"1998 Q3","250560"
"1998 Q4","253902"
"1999 Q1","255903"
"1999 Q2","258404"
"1999 Q3","261604"
"1999 Q4","267337"
"2000 Q1","272305"
"2000 Q2","273916"
"2000 Q3","276174"
"2000 Q4","278357"
"2001 Q1","282889"
"2001 Q2","286728"
"2001 Q3","288166"
"2001 Q4","288352"
"2002 Q1","292486"
"2002 Q2","295516"
"2002 Q3","299230"
"2002 Q4","304207"
"2003 Q1","307485"
"2003 Q2","312948"
"2003 Q3","317463"
"2003 Q4","320438"
"2004 Q1","322778"
"2004 Q2","329732"
"2004 Q3","331592"
"2004 Q4","338535"
"2005 Q1","341254"
"2005 Q2","348491"
"2005 Q3","352001"
"2005 Q4","357003"
"2006 Q1","361213"
"2006 Q2","367042"
"2006 Q3","370883"
"2006 Q4","372900"
"2007 Q1","376958"
"2007 Q2","386144"
"2007 Q3","389291"
"2007 Q4","392244"
"2008 Q1","397800"
"2008 Q2","400685"
"2008 Q3","399994"
"2008 Q4","395121"
"2009 Q1","386874"
"2009 Q2","386553"
"2009 Q3","388596"
"2009 Q4","386779"
"2010 Q1","396176"
"2010 Q2","401223"
"2010 Q3","404365"
"2010 Q4","406789"
"2011 Q1","414806"
"2011 Q2","412364"
"2011 Q3","416115"
"2011 Q4","419305"
"2012 Q1","424540"
"2012 Q2","424939"
"2012 Q3","430964"
"2012 Q4","433272"
"2013 Q1","438283"
"2013 Q2","442095"
"2013 Q3","448800"
"2013 Q4","452183"
"2014 Q1","457683"
"2014 Q2","461549"
"2014 Q3","470624"
"2014 Q4","472658"
"2015 Q1","474680"
"2015 Q2","476591"
"2015 Q3","479924"
"2015 Q4","485256"
"2016 Q1","489683"
"2016 Q2","493710"
"2016 Q3","500801"
"2016 Q4","507451"
"2017 Q1","513814"
"2017 Q2","517656"
"2017 Q3","521257"
"2017 Q4","529755"
"2018 Q1","531131"
"2018 Q2","535707"
"2018 Q3","540205"
"2018 Q4","545261"
"2019 Q1","549060"
"2019 Q2","556104"
"2019 Q3","562999"
"2019 Q4","565758"
"2020 Q1","555891"
"2020 Q2","476160"
"2020 Q3","533806"
"2020 Q4","537629"
"2021 Q1","537992"
"2021 Q2","568521"
"2021 Q3","581805"
"2021 Q4","597082"
"2022 Q1","610346"
"2022 Q2","625467"
"2022 Q3","636553"
"2022 Q4","654062"
"2023 Q1","667103"
"2023 Q2","679433"
"2023 Q3","685035"
"2023 Q4","685749"
"2024 Q1","698800"
"2024 Q2","707433"
"2024 Q3","717089"
"2024 Q4","724724"
